Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-04-03,339.2372735102523,340.4481319039061,334.226019542139,337.6994323730469,502200,0.0,0
2017-04-04,336.93939003961333,337.5138688075474,335.030331740369,336.559326171875,407500,0.0,0
2017-04-05,338.9279221613359,341.85336954517174,336.02898834702967,336.656494140625,467000,0.0,0
2017-04-06,336.95699409090395,340.6602088525821,336.06432561975,339.47589111328125,330700,0.0,0
2017-04-07,337.3724289451129,344.0717857330168,337.3724289451129,341.1728515625,550100,0.0,0
2017-04-10,341.2258847143142,343.83316963006274,339.51129535705087,341.0579833984375,390300,0.0,0
2017-04-11,339.1046919577094,339.84709892404476,335.4545041441545,339.43170166015625,442000,0.0,0
2017-04-12,338.4418858917487,340.0592949402618,336.18815102072756,337.125,377900,0.0,0
2017-04-13,334.84466632572554,339.8647939307507,334.0934394808157,334.9684143066406,366700,0.0,0
2017-04-17,336.89517618768576,339.4759476266624,335.67549782820157,339.2107849121094,426700,0.0,0
2017-04-18,337.2575061077212,339.5908082512907,335.6047639087412,339.0428161621094,498500,0.0,0
2017-04-19,340.3862720853888,341.02262481902386,331.8927311124554,333.2891845703125,687200,0.0,0
2017-04-20,334.39387323176663,338.3622231750059,332.0252380616061,337.2574462890625,725800,0.0,0
2017-04-21,335.5782373342693,337.07189804888145,333.0239798732961,334.1376037597656,493800,0.0,0
2017-04-24,341.09332255212973,343.9038692524607,339.4936073374829,341.72967529296875,595800,0.0,0
2017-04-25,343.6652380070069,343.6652380070069,340.5895286788847,343.09075927734375,545100,0.0,0
2017-04-26,343.32058241643074,346.3697513847092,342.12741761488684,343.6917724609375,465300,0.0,0
2017-04-27,344.831841034443,345.60960836326007,340.7220759609521,345.31793212890625,371400,0.0,0
2017-04-28,344.6904414442939,345.8924259345192,339.64382740507847,339.89129638671875,580500,0.0,0
2017-05-01,342.2157543532152,342.2157543532152,338.5036926269531,338.5036926269531,585700,0.0,0
2017-05-02,339.0075200073934,340.17417120751384,337.89389595526944,339.8294677734375,379800,0.0,0
2017-05-03,339.4494180039751,340.7574569010357,338.5125691287997,339.64385986328125,375400,0.0,0
2017-05-04,341.5087466722099,341.5087466722099,337.0012499849847,338.7777404785156,460200,0.0,0
2017-05-05,338.3004132387288,339.2195953340271,337.08958185805074,339.1754150390625,536300,0.0,0
2017-05-08,339.953195205773,340.2359976539495,336.5327825342799,337.95574951171875,336900,0.0,0
2017-05-09,337.9027209128259,339.2637869193562,335.54290509146836,336.2941589355469,472700,0.0,0
2017-05-10,336.3648292547773,338.0352651077934,333.9520134298821,337.8584899902344,404900,0.0,0
2017-05-11,336.20572305006544,338.8130074953469,334.57949458235856,338.3887634277344,454300,0.0,0
2017-05-12,337.39002870922246,340.44807068164533,336.90393764722626,340.3773498535156,458100,0.0,0
2017-05-15,341.6853963495646,345.9719360071295,340.5894393515729,344.1247253417969,556000,0.0,0
2017-05-16,344.4783505212332,346.7055714700507,342.666499873497,345.83941650390625,594000,0.0,0
2017-05-17,345.83945432354875,345.83945432354875,337.31057947688896,339.0959167480469,859400,0.0,0
2017-05-18,338.1766838274773,347.191648516137,337.47845716854374,343.3470458984375,1011300,0.0,0
2017-05-19,344.26621723213424,349.0830562630004,343.4089091083391,347.624755859375,681900,0.0,0
2017-05-22,349.7194236583675,352.6448714365772,348.7383675093307,350.2408752441406,663900,0.0,0
2017-05-23,350.29386760332756,352.034997323163,349.2686312582984,349.96685791015625,726200,0.0,0
2017-05-24,350.84187376168444,350.84187376168444,347.34194718951983,350.26739501953125,493000,0.0,0
2017-05-25,353.1574400976561,360.5373562081044,351.4781843710627,359.1497497558594,969600,0.0,0
2017-05-26,357.27607005122803,360.37829280305635,356.28619407751916,359.73309326171875,737300,0.0,0
2017-05-30,357.8063892154049,361.08536031156507,357.71800164717524,359.5563659667969,746500,0.0,0
2017-05-31,360.5991688575729,361.99559494768346,358.91106657063284,361.6950988769531,917200,0.0,0
2017-06-01,363.0646523098661,368.23121630966733,362.62892649765274,367.599853515625,1324100,2.5,0
2017-06-02,366.1947992505372,370.4098818128453,364.79869104612214,368.78253173828125,878700,0.0,0
2017-06-05,368.8003605479121,371.4503203824729,368.0711656770018,368.3468322753906,424700,0.0,0
2017-06-06,365.7590895123079,370.4276733817435,365.5278747698903,368.0,667200,0.0,0
2017-06-07,369.4583326102627,369.79625344684575,367.5019631026115,367.9732666015625,584300,0.0,0
2017-06-08,367.97331069830693,371.3791688668819,367.8043502597678,369.2449645996094,683300,0.0,0
2017-06-09,370.4365174183299,372.63297571856504,369.360500620026,372.15277099609375,679200,0.0,0
2017-06-12,371.4858456318739,373.4866670625662,370.7299743304813,371.98382568359375,783700,0.0,0
2017-06-13,372.8730773925781,374.5982322533925,370.6943943261019,372.8730773925781,373800,0.0,0
2017-06-14,371.5925504924153,374.91835164169,370.6143657020765,374.8116455078125,519300,0.0,0
2017-06-15,372.41959472915204,375.8165517993877,371.22799752847953,375.59423828125,475400,0.0,0
2017-06-16,376.35008685637445,376.57240036103565,373.2110212560734,373.9402160644531,1182100,0.0,0
2017-06-19,376.36785060874433,381.0186587530655,375.2296065853499,380.9386291503906,573000,0.0,0
2017-06-20,379.2668658320256,380.2984038233079,377.52393543056013,377.6573181152344,487500,0.0,0
2017-06-21,378.62659293827915,378.8489064534888,373.78904867628756,374.1447448730469,580500,0.0,0
2017-06-22,373.7445776391392,377.7017417239685,372.9976075229324,376.3056335449219,359800,0.0,0
2017-06-23,377.35488843194304,378.937759248744,373.71784332867213,374.9272155761719,811800,0.0,0
2017-06-26,376.6791331978218,379.01787577467337,375.496437209869,377.6573181152344,389600,0.0,0
2017-06-27,378.7065688541473,379.26680317510625,375.1051012735202,375.3807678222656,416700,0.0,0
2017-06-28,379.1067299647815,379.8803765173616,375.81647967265616,379.5780334472656,391400,0.0,0
2017-06-29,382.29029385581924,383.12619479709,374.42039043183024,376.36785888671875,748900,0.0,0
2017-06-30,378.6443482551232,379.59585656306615,375.5141838959006,375.6297912597656,502000,0.0,0
2017-07-03,378.7510942379243,383.1884632319191,377.9685463373981,381.3299255371094,379900,0.0,0
2017-07-05,381.3299709335679,382.30815592567626,379.05348248168815,381.2854919433594,446700,0.0,0
2017-07-06,379.7025751331718,381.10761171831234,377.87961520018945,378.1019287109375,335400,0.0,0
2017-07-07,380.200524112948,385.0825468632194,378.777739470896,384.4956359863281,390000,0.0,0
2017-07-10,383.89984203110316,390.24912870477084,383.4730174734642,387.92816162109375,517000,0.0,0
2017-07-11,388.3727826260532,388.61289857389363,382.0857774813602,384.07769775390625,507200,0.0,0
2017-07-12,385.49157140250105,388.17710845094086,384.2821991066344,387.0833435058594,468600,0.0,0
2017-07-13,388.3017360051381,390.0002147564623,386.95007941243983,389.3866271972656,477600,0.0,0
2017-07-14,388.0971148731984,393.79723624281144,387.0655769815269,389.79559326171875,766200,0.0,0
2017-07-17,380.6007246083088,383.95320252973136,376.0477483195411,377.60394287109375,1247300,0.0,0
2017-07-18,375.1940744302116,379.8448556655436,373.6645564043238,379.6047668457031,848100,0.0,0
2017-07-19,381.5255834806886,382.0057611514093,377.71957704994594,379.2312927246094,517200,0.0,0
2017-07-20,379.3201852512393,380.24501701272777,377.950726488365,379.96044921875,396600,0.0,0
2017-07-21,378.822193331441,381.9790340873853,378.33311450036604,381.1787109375,440700,0.0,0
2017-07-24,380.26282622881126,381.5611295900135,380.022737396292,380.88531494140625,372400,0.0,0
2017-07-25,384.1577215768224,385.9362295470855,382.5037221906592,383.5797119140625,531000,0.0,0
2017-07-26,384.54903470433084,387.29682654196677,383.4997214079936,384.78912353515625,739200,0.0,0
2017-07-27,386.32753739846027,387.1367618525406,375.22963691977645,378.3865051269531,538300,0.0,0
2017-07-28,377.93295518407285,378.902238800823,375.1762623186838,377.043701171875,444400,0.0,0
2017-07-31,379.24903570632176,380.59179072181223,377.62168577485784,379.2934875488281,578000,0.0,0
2017-08-01,382.08575312679716,383.9709671414167,379.99600093592113,382.3614196777344,440900,0.0,0
2017-08-02,381.0987215365567,382.32589649350575,377.35496950568563,378.42205810546875,394800,0.0,0
2017-08-03,377.35488998787713,379.7914369387171,377.0436457018219,378.8310546875,442000,0.0,0
2017-08-04,381.14310731114364,381.6233120236337,378.813266396948,379.27569580078125,412600,0.0,0
2017-08-07,379.747068995521,381.2765870949054,378.8400124678897,380.4851379394531,279500,0.0,0
2017-08-08,380.4228690442814,384.0866185001884,379.7203778890234,381.3299255371094,397800,0.0,0
2017-08-09,379.0978845988063,383.775369496034,378.1641787194026,383.5708312988281,350600,0.0,0
2017-08-10,381.3743675145075,382.4236807458397,375.6031176043016,375.8787841796875,488200,0.0,0
2017-08-11,375.39859529730273,380.8052751691746,375.389721210478,377.1860046386719,807100,0.0,0
2017-08-14,380.413963931791,382.15689411670763,379.0445052175605,380.654052734375,453300,0.0,0
2017-08-15,382.27254757191173,383.3752139450268,379.6581384103356,380.82305908203125,372800,0.0,0
2017-08-16,383.9265439908021,383.95322052742114,379.28463665392474,379.77374267578125,326100,0.0,0
2017-08-17,379.63142042719943,380.89414588348,373.21990682039797,373.4333190917969,443900,0.0,0
2017-08-18,371.0056425683233,373.27325648275973,368.48906576477816,370.4187316894531,1015000,0.0,0
2017-08-21,370.24982920549604,370.24982920549604,366.1948326240613,369.3694763183594,526100,0.0,0
2017-08-22,370.4365175123681,375.5141498729673,370.4365175123681,374.7049255371094,355900,0.0,0
2017-08-23,372.07282043985384,373.70904476777605,370.2943121958668,371.7704772949219,387400,0.0,0
2017-08-24,372.92644697369354,373.45110357902735,369.69845060007094,369.8763122558594,308500,0.0,0
2017-08-25,371.20130461405034,373.3088323309488,370.1253148323441,370.2586975097656,466700,0.0,0
2017-08-28,371.1124441432657,372.38409827679214,367.89334827440575,368.4535827636719,499400,0.0,0
2017-08-29,365.03875786907383,369.4850277578567,363.366956048831,368.2667541503906,505500,0.0,0
2017-08-30,368.8270463629914,371.65486794281804,368.0800761610305,370.1075744628906,404800,0.0,0
2017-08-31,371.90580443140584,375.9942610119705,371.7537329579251,374.85809326171875,501600,2.5,0
2017-09-01,377.8460955738391,379.5727208526163,376.30733450782026,377.3361511230469,441900,0.0,0
2017-09-05,375.2695767689932,377.07671534870735,369.51712576404384,370.0628356933594,615500,0.0,0
2017-09-06,371.61051783567405,373.68606098411885,368.4882753998509,368.75665283203125,430000,0.0,0
2017-09-07,370.1522954228274,370.7337981002764,366.2696135941945,370.599609375,483300,0.0,0
2017-09-08,369.6333280045615,373.7485934626323,369.1591764295123,372.1203918457031,316400,0.0,0
2017-09-11,373.49814285567413,381.1472267500653,373.49814285567413,379.35797119140625,443200,0.0,0
2017-09-12,381.23664483078795,383.52688946040445,379.9394238006804,383.41058349609375,333900,0.0,0
2017-09-13,383.231701494221,383.25853923580826,379.3937406360022,380.6820068359375,401000,0.0,0
2017-09-14,380.9235136352711,382.00600544411395,379.70680583782143,380.83404541015625,468300,0.0,0
2017-09-15,381.7734878317026,384.14427352450855,378.54389433161737,383.54486083984375,850200,0.0,0
2017-09-18,384.1442138604472,386.21972944338665,383.3927025420484,384.1889343261719,455400,0.0,0
2017-09-19,385.30724682926405,388.00901293880094,383.75060320411274,386.828125,361900,0.0,0
2017-09-20,388.59943207840763,389.34198836303693,385.90659394819386,388.3310546875,398900,0.0,0
2017-09-21,388.92156555374515,389.9414270808441,385.9424395970062,387.9374694824219,293300,0.0,0
2017-09-22,387.4006637509231,391.0775980977821,386.3986850126848,389.6014404296875,285800,0.0,0
2017-09-25,389.60144413454793,391.6680321272847,387.5348561418112,391.5159606933594,288600,0.0,0
2017-09-26,392.4374354341514,392.4374354341514,388.0895301135561,388.6263122558594,308400,0.0,0
2017-09-27,392.08849749001064,392.455298146847,388.152140816992,392.2048034667969,410200,0.0,0
2017-09-28,395.4254491613566,399.58546256659395,393.20676260435687,399.10235595703125,473500,0.0,0
2017-09-29,398.10938759044643,401.2674227639765,396.8211213206105,399.9791564941406,457700,0.0,0
2017-10-02,400.55170599690916,403.020860105846,399.9075729028662,402.53778076171875,416300,0.0,0
2017-10-03,402.0636403976987,403.3876720767614,399.78232311233904,403.2892761230469,540500,0.0,0
2017-10-04,403.34295689356674,409.68586484205366,401.6789349563997,409.6590270996094,839700,0.0,0
2017-10-05,410.24054330138654,416.5476587014517,408.8091332859329,415.49200439453125,642200,0.0,0
2017-10-06,415.49200743904447,416.780273732205,410.983102714858,414.4095153808594,458400,0.0,0
2017-10-09,415.9214188602308,416.72657842970176,413.0138784746766,413.72064208984375,339300,0.0,0
2017-10-10,414.4363196064872,416.4402770996094,412.9870269693632,416.4402770996094,687300,0.0,0
2017-10-11,424.05356677620705,424.38457468577064,411.67192160478896,423.9909362792969,1031800,0.0,0
2017-10-12,425.8428195171531,434.1002436822629,424.0446089586431,429.94915771484375,1241700,0.0,0
2017-10-13,429.8776152153451,432.60621909919934,425.0108377731477,425.3865661621094,639700,0.0,0
2017-10-16,426.4064704657641,428.303077112563,424.70668303524843,427.5963134765625,425400,0.0,0
2017-10-17,426.93425642143694,428.0435860960704,422.9799897492196,425.4402160644531,431700,0.0,0
2017-10-18,427.1221534357138,427.5247468753557,424.3667117636768,427.1847839355469,414800,0.0,0
2017-10-19,424.0536022281883,427.3100607172881,422.47904847065655,426.54962158203125,464100,0.0,0
2017-10-20,438.1797514222348,438.1797514222348,425.1181802721674,426.3974914550781,531300,0.0,0
2017-10-23,426.728506782919,428.94719356181986,423.81203871200876,424.4024963378906,436600,0.0,0
2017-10-24,427.3189506667095,427.8825705324656,422.3001019609251,423.8030700683594,510400,0.0,0
2017-10-25,423.8030857567429,424.778226789993,416.136118899522,419.7146301269531,644000,0.0,0
